List Length,Already Sorted Time (s),Almost Sorted Time (s),Completely Random Time (s)
1,3.2059997465694323e-06,1.6020003386074677e-06,1.1800002539530396e-06
2,2.725999365793541e-06,2.176000634790398e-06,2.222999682999216e-06
3,3.9760016079526395e-06,3.971001206082292e-06,2.735599991865456e-05
4,5.714000508305617e-06,4.567000360111706e-06,1.3230999684310518e-05
5,7.827000445104204e-06,7.37000118533615e-06,6.51460013614269e-05
6,9.665000106906518e-06,8.987999535747804e-06,7.594000089738984e-05
7,1.2907999916933477e-05,1.2581998817040585e-05,0.0001054539989127079
8,1.6326999684679322e-05,2.2561000150744803e-05,0.00013224599933892023
9,1.904900091176387e-05,1.679500019236002e-05,0.0003004869995493209
10,2.1781999748782255e-05,2.1648000256391242e-05,0.00024837400087562855
11,2.431800021440722e-05,2.6607000108924694e-05,0.00022144899958220776
12,3.116200059594121e-05,3.205299981345888e-05,0.0002746719983406365
13,3.755999932764098e-05,3.194499913661275e-05,0.00031782599944563117
14,3.992700112576131e-05,3.508000008878298e-05,0.0005583120000665076
15,3.86929987143958e-05,4.66780002170708e-05,0.0005432329999166541
16,5.2139001127216034e-05,6.071799907658715e-05,0.0007297929987544194
17,6.855299943708815e-05,5.024499841965735e-05,0.0008314070000778884
18,6.35860014881473e-05,6.315999962680507e-05,0.000951664000240271
19,7.179900057963096e-05,7.631700100318994e-05,0.0007124530002329266
20,7.216599988169037e-05,7.185499998740852e-05,0.0013004419997741934
21,7.353000000875909e-05,7.324599937419407e-05,0.0011988070000370499
22,9.190800119540654e-05,9.771700024430174e-05,0.0012082619996363064
23,0.00017462299911130685,0.00010180199933529366,0.0010732770006143255
24,9.166100062429905e-05,0.0001477839996368857,0.0011882990002050065
25,0.0001126100014516851,0.0001320000010309741,0.0014654980004706886
26,0.0001367980003124103,0.00013076600043859798,0.013648530999489594
27,0.00014347099931910634,0.00013515600039681885,0.0021353289994294755
28,0.00015470600010303315,0.00015259499923558906,0.0018598050010041334
29,0.00013651700101036113,0.016106320001199492,0.00846790399918973
30,0.00015416499991260935,0.00014063799972063862,0.0071575040001334855
31,0.0001495260003139265,0.00014832799934083596,0.036330233999251504
32,0.00017349600057059433,0.00018839800031855702,0.023232868001286988
33,0.00018446600006427616,0.0002057450001302641,0.012164275000031921
34,0.00019823700131382793,0.00022607199935009703,0.006496592999610584
35,0.00023197699920274317,0.00019491900093271397,0.00477470199984964
36,0.0027106289999210276,0.0002488210011506453,0.003686055999423843
37,0.00026333299865655135,0.032457117000376456,0.006848544999229489
38,0.00022024100144335534,0.0002566069997556042,0.0035091570007352857
39,0.00034715800029516686,0.0002697239997360157,0.004936321000059252
40,0.0003096999989793403,0.0003019260002474766,0.00454024100145034
41,0.00028737499997077975,0.0003239369998482289,0.004313612998885219
42,0.0002956380012619775,0.000301396999930148,0.070104969001477
43,0.000185251001312281,0.00017243599904759321,0.010708813000746886
44,0.00017851300071924925,0.0001796569995349273,0.003994417998910649
45,0.0002123850008501904,0.00018653400002222043,0.010160734000237426
46,0.00027825300094264094,0.00020261600002413616,0.019028681999770924
47,0.0002266669998789439,0.00021035400095570367,0.012787106999894604
48,0.00022310200074571185,0.00023532600062026177,0.027074356999946758
49,0.0003716259998327587,0.00035615200067695696,0.023122425000110525
50,0.0005069159997219685,0.0005733360012527555,0.04571401500106731
51,0.00025416900098207407,0.00023963099920365494,0.026633230998413637
52,0.00027488399973663036,0.00037521800004469696,0.011575226000786643
53,0.0005294520015013404,0.00047310800073319115,0.009834405000219704
54,0.0005042659995524446,0.0004417589989316184,0.03772759800085623
55,0.0005280800014588749,0.0005325540005287621,0.01011749400095141
56,0.004071006000231137,0.000588937999054906,0.012243021999893244
57,0.0006366199995682109,0.0005409059995145071,0.046203485000660294
58,0.0006510109997179825,0.0005921569991187425,0.010581209000520175
59,0.0006131430000095861,0.003542121999998926,0.012691341999016004
60,0.0006174980007926933,0.0005746049992012559,0.020584032999977353
61,0.0006430270004784688,0.0006934630000614561,0.05281654300051741
62,0.000631279999652179,0.0006105979991843924,0.023817481998776202
63,0.0009129150002991082,0.001879245000964147,0.014857603000564268
64,0.034263876999830245,0.0007001350004429696,0.02270557000156259
65,0.0007310130004043458,0.000695123000696185,0.015779793999172398
66,0.0007816929992259247,0.0007764380006847205,0.05339383400132647
67,0.0019193529988115188,0.0020154560006631073,0.013756631000433117
68,0.0010583259991108207,0.0008479059997625882,0.017705538999507553
69,0.0005391089998738607,0.0008311689998663496,0.027606040999671677
70,0.07224373200006085,0.0008601819990872173,0.0362504690001515
71,0.0009987470002670307,0.0010117460005858447,0.06666979000146966
72,0.003026739999768324,0.0009190919990942348,0.01957809399937105
73,0.0013553050011978485,0.0011452420003479347,0.045109622999007115
74,0.0006357579986797646,0.0007136940002965275,0.05815586000062467
75,0.002546175999668776,0.000699985001119785,0.07044052600031137
76,0.000604224000198883,0.0039503280004282715,0.034865609000917175
77,0.0005710570003429893,0.0005453719986689975,0.02660687600109668
78,0.0021921049992670305,0.0010650509993865853,0.018800009000187856
79,0.04360011999960989,0.001112781999836443,0.027466329998787842
80,0.0009398660004080739,0.0007201250009529758,0.061534054000730976
81,0.0024883579990273574,0.0013083960002404638,0.023765238000123645
82,0.0013047789998381631,0.0011714699994627154,0.08716288299910957
83,0.0011674340003082762,0.001288084999032435,0.021397450000222307
84,0.0011041489997296594,0.0006971490001888014,0.032887135999772
85,0.001297593000344932,0.0012770789999194676,0.07965974600119807
86,0.0015419690007547615,0.0013501840003300458,0.028828603000874864
87,0.043407206001575105,0.0011766150000767084,0.032799118000184535
88,0.001318209999226383,0.0007360979998338735,0.07336760999896796
89,0.0013426610003079986,0.0013459040001180256,0.03416127899981802
90,0.03744134600128746,0.004653164000046672,0.13682251299906056
91,0.05321819500022684,0.0026053990004584193,0.12145394999970449
92,0.002120084000125644,0.0015570899995509535,0.09765129199877265
93,0.0009399329992447747,0.002371315998971113,0.09057949799898779
94,0.0014714009994349908,0.0015383469999505905,0.08272176699938427
95,0.001479092999943532,0.0014675340007670457,0.09306845600076485
96,0.0016102779991342686,0.0015861720003158553,0.08362786200086703
97,0.001794942001652089,0.0018007270009547938,0.097955107999951
98,0.0062218540006142575,0.0009226830006809905,0.06053433300075994
99,0.004571355999360094,0.0017300189992965898,0.06364240900074947
100,0.0016209660007007187,0.003799993000939139,0.09797795900158235
101,0.0017133029996330151,0.0018451110008754767,0.09127155799978937
102,0.0010111119991051964,0.002175747000364936,0.07961536800030444
103,0.001938502000484732,0.002045323999482207,0.08904237000024295
104,0.002085419999275473,0.0033213530005014036,0.13416257300013967
105,0.002108029000737588,0.001852518000305281,0.07858445700003358
106,0.0011914309998246608,0.00119115400048031,0.08979145400007837
107,0.0016458869995403802,0.0017932899991137674,0.15115672399952018
108,0.00834507699983078,0.0013499429987859912,0.0332401919986296
109,0.005149878999873181,0.0017199270005221479,0.09871503899921663
110,0.03031647599891585,0.004389329000332509,0.09669479900003353
111,0.003851037999993423,0.002374497998971492,0.20388367399937124
112,0.0627658209996298,0.002537034999477328,0.1394359739988431
113,0.0016760899998189416,0.04224517299917352,0.10581220000130998
114,0.002268768999783788,0.002317553999091615,0.12498602699997718
115,0.002316714000698994,0.0015040689995657885,0.14670554200165498
116,0.002446331000101054,0.006508375001430977,0.11812058299983619
117,0.0026622069999575615,0.04865276000055019,0.11672467300013523
118,0.0026701160004449775,0.0024824739994073752,0.16513634100010677
