List Length,Already Sorted Time (s),Almost Sorted Time (s),Completely Random Time (s)
1,3.4529998629295733e-06,1.7399997886968777e-06,1.5140003597480245e-06
2,1.6864999906829325e-05,2.129599988620612e-05,1.1652000011963537e-05
3,2.133999987563584e-05,1.3333999959286302e-05,3.084999980274006e-05
4,2.2032000288163545e-05,2.2620999970968114e-05,5.608299989035004e-05
5,3.482900001472444e-05,4.841500003749388e-05,5.1880000228266e-05
6,4.888700004812563e-05,2.469199989718618e-05,6.769799983885605e-05
7,3.599499996198574e-05,3.593399969759048e-05,0.0001204180002787325
8,4.2547999782982515e-05,5.687500015483238e-05,0.00010943300003418699
9,6.919999987076153e-05,4.430699982549413e-05,0.00017269799991481705
10,0.0001929329996528395,8.675799972479581e-05,0.00021251499993013567
11,0.000125699999898643,0.00013364899996304302,0.0002099960001942236
12,0.00014186700036589173,0.0001286419997086341,0.0005421370001386094
13,0.04403125699991506,6.277900001805392e-05,0.00024899299978642375
14,5.38130002496473e-05,5.224599999564816e-05,0.00042756899983942276
15,0.0001243189999513561,8.954800023275311e-05,0.0003256180002608744
16,5.56019999748969e-05,5.5312999847956235e-05,0.00028639299989663414
17,6.325200001811027e-05,5.815500026074005e-05,0.00043546000006244867
18,9.933899991665385e-05,0.00013744799980486277,0.00038186000028872513
19,6.601699988095788e-05,6.673000007140217e-05,0.00044601600029636757
20,6.541800030390732e-05,8.897699990484398e-05,0.00033678699992378824
21,0.00013022999974054983,6.977100019867066e-05,0.0007327359999180771
22,0.00018844600026568514,7.607500037920545e-05,0.0005614810002043669
23,0.00014170099984767148,0.0001480370001445408,0.0007515180000154942
24,8.402000003115973e-05,8.208899998862762e-05,0.0006642009998358844
25,8.784199962974526e-05,8.565000007365597e-05,0.0007101779997356061
26,9.238400025424198e-05,0.00015738299998702132,0.000766094000027806
27,0.00014989200008130865,9.711999973660568e-05,0.0009732169996823359
28,0.00014391700005944585,0.00017041999990397017,0.0012388730001475778
29,0.00025067900014619227,0.00015739199989184272,0.0009771069999260362
30,0.0002188960002058593,0.00021816899970872328,0.0014160989999254525
31,0.00020581400031005614,0.00015663200019844226,0.002473923000252398
32,0.0002849339998647338,0.00020606699990821653,0.003872697000133485
33,0.00041129500004899455,0.00048658000014256686,0.00463458600006561
34,0.0005304549999891606,0.000565448999623186,0.001586300000326446
35,0.0001378599999952712,0.000341099000252143,0.057674201000281755
36,0.00021469300008902792,0.0001806230002330267,0.0019007679998139793
37,0.0003984360000686138,0.0001681899998402514,0.0015508759997828747
38,0.00015271800020855153,0.00015013099982752465,0.001594677000412048
