List Length,Already Sorted Time (s),Almost Sorted Time (s),Completely Random Time (s)
1,1.7860002117231488e-06,7.319904398173094e-07,6.170012056827545e-07
2,3.7766993045806885e-05,2.7550995582714677e-05,2.6573005015961826e-05
3,6.055300764273852e-05,5.769000563304871e-05,6.341098924167454e-05
4,0.00022075700690038502,8.874300692696124e-05,6.558500172104686e-05
5,0.0001292990054935217,9.465600305702537e-05,0.00010367100185249001
6,0.00013337700511328876,0.0001610020117368549,0.000157813003170304
7,0.0002362870000069961,0.00023412601149175316,0.00042173799010924995
8,0.0007477189938072115,0.000303033011732623,0.0003013809910044074
9,0.00033951998921111226,0.00034919001336675137,0.000353644005372189
10,0.00039208099769894034,0.0002671449910849333,0.0003755699872272089
11,0.0002579669962869957,0.03386917299940251,0.000850194992381148
12,0.0004715670074801892,0.0005090939957881346,0.0009137449960689992
13,0.0006938669976079836,0.002907973001128994,0.000606032001087442
14,0.008534409003914334,0.0006443970050895587,0.004129000997636467
15,0.0006832159997429699,0.0006604629888897762,0.0016619750094832852
16,0.0007408840028801933,0.0007131300080800429,0.00043291199835948646
17,0.0004640120023395866,0.004001772002084181,0.001561291006510146
18,0.0010853620042325929,0.0008826769917504862,0.001003518991637975
19,0.0011778210027841851,0.0006804489967180416,0.0007651639898540452
20,0.001242697995621711,0.0009536620054859668,0.0010099589999299496
21,0.00103544800367672,0.0016534360038349405,0.001268539999728091
22,0.0012492600071709603,0.00414450399694033,0.0011990209895884618
23,0.0011038819939130917,0.0011917189985979348,0.0009867679909802973
24,0.030493768994347192,0.001298956005484797,0.0016292009968310595
25,0.0013689820043509826,0.0015615540032740682,0.0015343720006057993
26,0.014459601006819867,0.001171725001768209,0.0020387570111779496
27,0.0015660710050724447,0.0015608240064466372,0.001044229997205548
28,0.0010011080012191087,0.0011798920022556558,0.0009799959952943027
29,0.0010506119870115072,0.0010025160008808598,0.0010579619993222877
30,0.001385434006806463,0.0016649649915052578,0.0015151770057855174
31,0.0017374809976899996,0.0011646170023595914,0.0018815479998011142
32,0.0016186099965125322,0.001804687999538146,0.0023837790067773312
33,0.04341476999979932,0.0019801720045506954,0.0021854150108993053
34,0.00228428200352937,0.03021926099609118,0.0042448889871593565
35,0.0020397609914653003,0.009486409006058238,0.007006200990872458
36,0.03448182498686947,0.005335634996299632,0.002366240994888358
37,0.01432112799375318,0.0015090789966052398,0.002428591003990732
38,0.0019583690009312704,0.0023443019890692085,0.0029957649967400357
39,0.0021097010030644014,0.002597162005258724,0.0025986830005422235
40,0.054689297001459636,0.002743884004303254,0.0031668470037402585
41,0.002835382998455316,0.002500141999917105,0.0018497419951017946
42,0.0028920600016135722,0.0029670939984498546,0.0028616600029636174
43,0.002950964990304783,0.00274008400447201,0.004092066010343842
44,0.0028430810052668676,0.0034823000023607165,0.04079892199661117
45,0.0031590939906891435,0.003424566995818168,0.002926814995589666
46,0.0019511800055624917,0.012023596005747095,0.0032517310028197244
47,0.004022895998787135,0.003719625005032867,0.004271044992492534
48,0.0034638550132513046,0.0025249190075555816,0.0029874399915570393
49,0.003129716991679743,0.04357051900296938,0.002504093004972674
50,0.003636597000877373,0.002798733999952674,0.0032392059947596863
51,0.008884070004569367,0.0028196740022394806,0.003648886995506473
52,0.00336018500092905,0.0025241939874831587,0.0033963210007641464
53,0.00327265499799978,0.002287759998580441,0.002840230008587241
54,0.05161863300600089,0.004088301007868722,0.004347836002125405
55,0.01075234598829411,0.0028018839948344976,0.0025061390042537823
56,0.0033699769992381334,0.004201948991976678,0.004539582005236298
57,0.0042059359984705225,0.004081224993569776,0.04681625399098266
58,0.018421629996737465,0.002936735996627249,0.0031389320065500215
59,0.00419911700009834,0.004236239998135716,0.0048964180023176596
60,0.00446242700854782,0.004703448998043314,0.004385256004752591
61,0.01799776600091718,0.0042607950017554685,0.005497434001881629
62,0.004966608990798704,0.003381000002264045,0.05460479500470683
63,0.00951395501033403,0.016038952002418227,0.005830157999298535
64,0.06761126000492368,0.0040737009985605255,0.015582713996991515
65,0.004151272005401552,0.0030562330066459253,0.003352932006237097
66,0.004826104996027425,0.003410559002077207,0.003257838005083613
67,0.007075588990119286,0.04597950799507089,0.004031328993733041
68,0.016276030990411527,0.005974885003524832,0.005844963001436554
69,0.004962525999872014,0.004048342991154641,0.05635073500161525
70,0.018001959004322998,0.0037904069904470816,0.00418192200595513
71,0.003572661997168325,0.005653312007780187,0.06010067199531477
72,0.010548370002652518,0.004630705007002689,0.005338016009773128
73,0.003941483999369666,0.004358640988357365,0.007243911997647956
74,0.004296071012504399,0.006195670997840352,0.03786942099395674
75,0.003749274997971952,0.003652512008557096,0.014291832994786091
76,0.003934000007575378,0.0036413750058272853,0.004284637994715013
77,0.0038506559940287843,0.004798594003659673,0.008675193996168673
78,0.046851883991621435,0.007835661002900451,0.014193242008332163
79,0.00470094099000562,0.009066052996786311,0.006758026996976696
80,0.004308037998271175,0.003923901007510722,0.004403488987009041
81,0.033680389999062754,0.006760803997167386,0.013267496004118584
82,0.004963654006132856,0.004559597990009934,0.00467830800334923
83,0.004127370004425757,0.004224563002935611,0.05710428400197998
84,0.013838622995535843,0.007049034989904612,0.007425544012221508
85,0.00513608600886073,0.00562901099328883,0.039183027009130456
86,0.0044652159995166585,0.01285221500438638,0.01587956199364271
87,0.00595489599800203,0.004727229999843985,0.004911843003355898
88,0.004375303993583657,0.034510850004153326,0.0062180829991120845
89,0.015812366997124627,0.00582167599350214,0.006897925995872356
90,0.005084352000267245,0.005733040001359768,0.051876383004128
91,0.015393592999316752,0.007143861992517486,0.00790888798655942
92,0.008850918005919084,0.05271398300828878,0.029806170001393184
93,0.06126255799608771,0.02083049199427478,0.027589699006057344
94,0.03499124899099115,0.010332313991966657,0.010117037003510632
95,0.0532263380009681,0.02145847599604167,0.07595123400096782
96,0.025004918992635794,0.04161511900019832,0.011665218000416644
97,0.016251494002062827,0.009515612997347489,0.03757758099527564
98,0.021431897999718785,0.013687842001672834,0.008904610993340611
99,0.045455911007593386,0.01854834400000982,0.06843377000768669
100,0.011752205013181083,0.00891950199729763,0.007974997002747841
101,0.034563865992822684,0.01767347399436403,0.010281915005180053
102,0.01079520299390424,0.01101344199560117,0.06692911799473222
103,0.04687955600093119,0.036735165005666204,0.012171363006928004
104,0.010333827987778932,0.06901740199828055,0.012102388005587272
